#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000234l:2078137-2079340 -             86 128631at33392        -             80   2.1e-46  156.0   3.2   1   1   1.4e-49   2.4e-46  155.8   3.2     1    80     2    85     2    85 0.98 -
ptg000257l:1088767-1127957 -            412 128631at33392        -             80    0.0094   16.1   0.9   1   1   1.7e-05     0.029   14.5   0.9    20    74    91   144    89   148 0.90 -
ptg000269l:291684-292328   -            215 128631at33392        -             80     0.046   13.9   1.2   1   2   0.00075       1.3    9.3   0.5    39    78    52    97     3    99 0.62 -
ptg000269l:291684-292328   -            215 128631at33392        -             80     0.046   13.9   1.2   2   2      0.68   1.1e+03   -0.2   0.0    50    68    98   116    97   123 0.84 -
ptg000808l:604846-605526   -            227 128631at33392        -             80     0.084   13.0   1.1   1   2    0.0026       4.3    7.6   0.5    66    78    97   109     3   111 0.93 -
ptg000808l:604846-605526   -            227 128631at33392        -             80     0.084   13.0   1.1   2   2      0.78   1.3e+03   -0.4   0.0    51    69   111   129   110   139 0.83 -
ptg000895l:144546-145226   -            227 128631at33392        -             80     0.087   13.0   1.1   1   3      0.11   1.9e+02    2.3   0.0     7    29     8    30     3    62 0.82 -
ptg000895l:144546-145226   -            227 128631at33392        -             80     0.087   13.0   1.1   2   3    0.0028       4.8    7.4   0.1    66    78    97   109    80   111 0.88 -
ptg000895l:144546-145226   -            227 128631at33392        -             80     0.087   13.0   1.1   3   3      0.83   1.4e+03   -0.5   0.0    51    69   111   129   110   137 0.83 -
ptg000321l:1515748-1516428 -            227 128631at33392        -             80     0.088   13.0   1.1   1   3       0.1   1.7e+02    2.4   0.0     7    30     8    31     3    69 0.81 -
ptg000321l:1515748-1516428 -            227 128631at33392        -             80     0.088   13.0   1.1   2   3    0.0029       4.9    7.4   0.1    66    78    97   109    82   111 0.88 -
ptg000321l:1515748-1516428 -            227 128631at33392        -             80     0.088   13.0   1.1   3   3      0.88   1.5e+03   -0.6   0.0    51    68   111   128   110   135 0.83 -
ptg000860l:239797-240477   -            227 128631at33392        -             80     0.088   13.0   1.1   1   3       0.1   1.7e+02    2.4   0.0     7    30     8    31     3    69 0.81 -
ptg000860l:239797-240477   -            227 128631at33392        -             80     0.088   13.0   1.1   2   3    0.0029       4.9    7.4   0.1    66    78    97   109    82   111 0.88 -
ptg000860l:239797-240477   -            227 128631at33392        -             80     0.088   13.0   1.1   3   3      0.88   1.5e+03   -0.6   0.0    51    68   111   128   110   135 0.83 -
ptg000653l:618692-619372   -            227 128631at33392        -             80     0.092   12.9   1.2   1   2    0.0025       4.2    7.6   0.5    66    78    97   109     3   111 0.93 -
ptg000653l:618692-619372   -            227 128631at33392        -             80     0.092   12.9   1.2   2   2      0.68   1.2e+03   -0.2   0.0    50    69   110   129   109   137 0.84 -
ptg000466l:516210-516887   -            226 128631at33392        -             80     0.093   12.9   1.2   1   2    0.0025       4.2    7.6   0.5    66    78    97   109     3   111 0.93 -
ptg000466l:516210-516887   -            226 128631at33392        -             80     0.093   12.9   1.2   2   2      0.68   1.1e+03   -0.2   0.0    50    69   110   129   109   137 0.84 -
ptg000510l:443098-443739   -            214 128631at33392        -             80      0.16   12.2   1.8   1   3     0.092   1.6e+02    2.6   0.0     7    30     8    31     3    69 0.81 -
ptg000510l:443098-443739   -            214 128631at33392        -             80      0.16   12.2   1.8   2   3    0.0044       7.5    6.8   0.1    66    78    97   109    80   111 0.87 -
ptg000510l:443098-443739   -            214 128631at33392        -             80      0.16   12.2   1.8   3   3      0.62     1e+03   -0.1   0.0    50    69   110   129   109   138 0.84 -
ptg000166l:6262678-6266417 -            460 128631at33392        -             80       1.1    9.5   4.6   1   3   0.00054      0.91    9.7   1.6    20    74   117   169   115   173 0.88 -
ptg000166l:6262678-6266417 -            460 128631at33392        -             80       1.1    9.5   4.6   2   3       5.5   9.2e+03   -3.1   0.1    61    74   202   215   200   218 0.77 -
ptg000166l:6262678-6266417 -            460 128631at33392        -             80       1.1    9.5   4.6   3   3       2.9   4.9e+03   -2.2   0.0    28    64   333   367   330   379 0.73 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/128631at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/128631at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/128631at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:22:46 2022
# [ok]
