#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000055l:3943128-3947989 -            694 22720at33392         -            559  1.6e-251  832.1  34.6   1   2  6.6e-237  5.3e-235  777.6   3.7     9   441     5   459     2   480 0.95 -
ptg000055l:3943128-3947989 -            694 22720at33392         -            559  1.6e-251  832.1  34.6   2   2   7.3e-20   5.9e-18   61.1  20.9   440   553   510   645   491   650 0.77 -
ptg000012l:5584539-5594197 -            296 22720at33392         -            559   2.4e-96  319.9   0.0   1   1   6.7e-98   5.3e-96  318.7   0.0    40   338     3   296     1   296 0.96 -
ptg000244l:4962689-4967844 -            254 22720at33392         -            559   3.6e-82  273.1   0.8   1   2     2e-46   1.6e-44  148.8   0.1    42   182     1   134     1   136 0.97 -
ptg000244l:4962689-4967844 -            254 22720at33392         -            559   3.6e-82  273.1   0.8   2   2   5.9e-39   4.7e-37  124.1   0.0   216   341   134   250   132   251 0.97 -
ptg000151l:3449620-3456714 -            243 22720at33392         -            559   6.4e-72  239.2   1.1   1   2   4.5e-46   3.6e-44  147.6   0.1    41   181     4   137     2   139 0.95 -
ptg000151l:3449620-3456714 -            243 22720at33392         -            559   6.4e-72  239.2   1.1   2   2   2.7e-27   2.1e-25   85.7   0.1   217   338   139   243   137   243 0.97 -
ptg000410l:786651-788833   -            353 22720at33392         -            559   4.5e-69  229.8   1.2   1   1   6.4e-71   5.2e-69  229.7   1.2    29   355     1   337     1   352 0.85 -
ptg000149l:3864654-3867503 -            299 22720at33392         -            559   1.1e-66  222.0   0.3   1   1   1.5e-68   1.2e-66  221.9   0.3    42   332     1   299     1   299 0.92 -
ptg000010l:3993396-4009634 -            326 22720at33392         -            559   6.8e-63  209.5   0.0   1   1   1.2e-64   9.6e-63  209.0   0.0    29   341     5   307     3   310 0.93 -
ptg000265l:5404071-5410530 -            238 22720at33392         -            559   2.4e-61  204.3   1.1   1   2   1.2e-54   9.9e-53  175.9   0.4    31   230     1   197     1   199 0.91 -
ptg000265l:5404071-5410530 -            238 22720at33392         -            559   2.4e-61  204.3   1.1   2   2   4.6e-10   3.7e-08   28.8   0.0   304   339   196   231   191   234 0.91 -
ptg000061l:3768693-3770002 -            238 22720at33392         -            559   1.3e-53  178.8   1.6   1   2   1.7e-40   1.3e-38  129.3   0.2    52   197     1   140     1   144 0.88 -
ptg000061l:3768693-3770002 -            238 22720at33392         -            559   1.3e-53  178.8   1.6   2   2     5e-17     4e-15   51.8   0.1   230   319   140   231   138   237 0.91 -
ptg000411l:709107-845790   -            362 22720at33392         -            559   1.7e-53  178.4   0.0   1   1   4.6e-55   3.7e-53  177.3   0.0    29   338    24   335     1   357 0.83 -
ptg000017l:1103102-1111079 -            287 22720at33392         -            559   6.2e-52  173.3   0.0   1   2   5.2e-38   4.1e-36  121.0   0.0    29   211    23   207    16   221 0.81 -
ptg000017l:1103102-1111079 -            287 22720at33392         -            559   6.2e-52  173.3   0.0   2   2     1e-16   8.3e-15   50.7   0.0   269   338   218   287   199   287 0.93 -
ptg000010l:4028911-4030725 -            234 22720at33392         -            559   5.4e-51  170.2   0.0   1   2   2.8e-38   2.2e-36  121.9   0.0    45   202     1   159     1   168 0.91 -
ptg000010l:4028911-4030725 -            234 22720at33392         -            559   5.4e-51  170.2   0.0   2   2   1.4e-15   1.1e-13   47.0   0.0   267   335   166   234   161   234 0.95 -
ptg000411l:425644-430006   -            317 22720at33392         -            559   5.2e-46  153.7   1.3   1   1   7.2e-48   5.7e-46  153.6   1.3    15   332     3   317     1   317 0.89 -
ptg000017l:1391340-1434540 -            323 22720at33392         -            559   3.6e-42  141.1   0.9   1   1   4.8e-44   3.8e-42  141.0   0.9    29   332    23   323     1   323 0.91 -
ptg000197l:1026388-1030921 -            406 22720at33392         -            559     3e-41  138.0   0.2   1   1   7.6e-43   6.1e-41  137.0   0.2    10   353    15   362    10   384 0.81 -
ptg000073l:5052433-5059828 -            260 22720at33392         -            559   3.1e-38  128.1   2.4   1   2   1.4e-32   1.1e-30  103.1   1.8    13   233    10   207     4   208 0.85 -
ptg000073l:5052433-5059828 -            260 22720at33392         -            559   3.1e-38  128.1   2.4   2   2   2.2e-06   0.00018   16.6   0.0   306   339   204   237   198   248 0.88 -
ptg000088l:3978463-3989798 -            249 22720at33392         -            559   5.9e-38  127.1   0.0   1   1     8e-40   6.4e-38  127.0   0.0    27   212    40   223    18   249 0.83 -
ptg000062l:4629893-4641508 -            235 22720at33392         -            559   3.8e-34  114.6   0.1   1   2   1.3e-26     1e-24   83.4   0.0    31   208     1   173     1   180 0.88 -
ptg000062l:4629893-4641508 -            235 22720at33392         -            559   3.8e-34  114.6   0.1   2   2     2e-10   1.6e-08   30.0   0.0   296   338   179   221   172   234 0.89 -
ptg000062l:6438333-6492164 -            406 22720at33392         -            559   4.7e-07   25.1   0.1   1   1   7.3e-09   5.9e-07   24.8   0.1   270   411   227   378    95   398 0.76 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/22720at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/rerun_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/rerun_results/22720at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/22720at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/rerun_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 15:26:26 2022
# [ok]
