# BUSCO version is: 5.2.2 
# The lineage dataset is: endopterygota_odb10 (Creation date: 2020-09-10, number of genomes: 56, number of BUSCOs: 2124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7at33392	Complete	NC_007424.3	8082211	8167562	-	8371.3	13002	https://www.orthodb.org/v10?query=7at33392	nesprin-1 isoform X1
123at33392	Complete	NC_007422.5	10025339	10045696	+	7881.9	3912	https://www.orthodb.org/v10?query=123at33392	Dynein heavy chain
263at33392	Complete	NC_007417.3	7548205	7564468	+	5582.2	3024	https://www.orthodb.org/v10?query=263at33392	EGF-like calcium-binding, conserved site
416at33392	Complete	NC_007418.3	18689956	18833562	-	4061.1	3627	https://www.orthodb.org/v10?query=416at33392	midasin
693at33392	Complete	NC_007417.3	11470708	11484165	+	4343.6	2555	https://www.orthodb.org/v10?query=693at33392	WD40-repeat-containing domain
695at33392	Complete	NC_007419.2	1765110	1780562	+	2913.2	2091	https://www.orthodb.org/v10?query=695at33392	SRCR-like domain
727at33392	Complete	NC_007417.3	1525111	1578820	-	3838.0	2509	https://www.orthodb.org/v10?query=727at33392	protein unc-80 homolog
734at33392	Complete	NC_007418.3	11053105	11081579	-	3444.8	2031	https://www.orthodb.org/v10?query=734at33392	protein furry isoform X1
764at33392	Complete	NC_007424.3	10963547	10977725	+	3841.4	2455	https://www.orthodb.org/v10?query=764at33392	GPCR, family 2, extracellular hormone receptor domain
786at33392	Complete	NC_007420.3	13518193	13549239	+	2900.8	2090	https://www.orthodb.org/v10?query=786at33392	multiple epidermal growth factor-like domains protein 8
799at33392	Complete	NC_007422.5	8554909	8574875	+	3293.7	2256	https://www.orthodb.org/v10?query=799at33392	ubiquitin carboxyl-terminal hydrolase 34
805at33392	Complete	NC_007420.3	7523973	7539496	+	2437.0	1597	https://www.orthodb.org/v10?query=805at33392	probable ubiquitin carboxyl-terminal hydrolase FAF-X
818at33392	Complete	NC_007416.3	4695534	4707085	-	3323.6	1952	https://www.orthodb.org/v10?query=818at33392	inositol 1,4,5-trisphosphate receptor isoform X1
832at33392	Complete	NC_007418.3	2862841	2943405	-	2261.2	1564	https://www.orthodb.org/v10?query=832at33392	Dbl homology (DH) domain
892at33392	Complete	NW_015451448.1	59840	84307	-	4320.5	1961	https://www.orthodb.org/v10?query=892at33392	pre-mRNA-processing-splicing factor 8
911at33392	Complete	NC_007418.3	18428865	18450502	-	852.1	1006	https://www.orthodb.org/v10?query=911at33392	maternal protein tudor isoform X1
1040at33392	Complete	NC_007420.3	5442366	5455237	+	2985.8	2050	https://www.orthodb.org/v10?query=1040at33392	E3 ubiquitin-protein ligase UBR5 isoform X1
