#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000082l:13484613-13485201 -            177 120068at33392        -            121   6.1e-50  164.7   0.1   1   2   1.9e-11   1.5e-09   34.3   0.0     2    30    30    58    29    65 0.91 -
ptg000082l:13484613-13485201 -            177 120068at33392        -            121   6.1e-50  164.7   0.1   2   2     1e-40     8e-39  128.8   0.0    24   120    65   172    61   173 0.92 -
ptg000138l:904016-1108492    -             69 120068at33392        -            121   1.5e-05   21.5   0.0   1   1   1.9e-07   1.5e-05   21.4   0.0    60   112    15    68     3    69 0.89 -
ptg000641l:7776-137653       -             97 120068at33392        -            121   4.1e-05   20.0   1.8   1   1   9.9e-07   7.9e-05   19.1   1.8    15   102     6    83     1    90 0.67 -
ptg000085l:543994-837739     -             70 120068at33392        -            121   4.9e-05   19.7   0.1   1   1   6.9e-07   5.5e-05   19.6   0.1    20    70     4    56     1    64 0.78 -
ptg000196l:10078955-10108303 -             71 120068at33392        -            121     8e-05   19.1   0.1   1   1   1.3e-06    0.0001   18.7   0.1    60   108    15    71     3    71 0.71 -
ptg000415l:223919-355402     -            103 120068at33392        -            121   0.00015   18.2   0.0   1   1   2.3e-06   0.00018   17.9   0.0    10    69    38   102    27   103 0.84 -
ptg000373l:2026219-2114999   -            121 120068at33392        -            121   0.00081   15.8   0.4   1   1   3.6e-05    0.0029   14.1   0.4    37    94    58   120    30   121 0.66 -
ptg000275l:2852392-3001601   -             87 120068at33392        -            121     0.001   15.5   2.2   1   1    0.0001    0.0084   12.5   2.2    11   101     1    87     1    87 0.71 -
ptg000373l:364721-448899     -            106 120068at33392        -            121    0.0017   14.8   0.1   1   1   2.9e-05    0.0023   14.4   0.1    66   101    64   100    22   105 0.87 -
ptg000959l:75130-245101      -            120 120068at33392        -            121    0.0026   14.2   0.3   1   3      0.34        27    1.2   0.0    17    30     6    19     2    26 0.77 -
ptg000959l:75130-245101      -            120 120068at33392        -            121    0.0026   14.2   0.3   2   3   0.00055     0.044   10.2   0.1    56    82    28    56    19    64 0.84 -
ptg000959l:75130-245101      -            120 120068at33392        -            121    0.0026   14.2   0.3   3   3       2.4   1.9e+02   -1.5   0.0    91   106    80    96    74   110 0.69 -
ptg000041l:565564-598612     -             97 120068at33392        -            121    0.0029   14.1   1.1   1   1   4.4e-05    0.0036   13.8   1.1     8    93     1    85     1    96 0.81 -
ptg000002l:9538187-9603193   -             74 120068at33392        -            121    0.0037   13.7   0.0   1   1   5.9e-05    0.0047   13.4   0.0    60   114    15    66     3    72 0.83 -
