Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7at33392	Complete	OW284512.1	30392256	30660504	-	7995.3	8404	https://www.orthodb.org/v10?query=7at33392	nesprin-1 isoform X1
123at33392	Complete	OW284510.1	41228168	41300467	+	7720.3	3976	https://www.orthodb.org/v10?query=123at33392	Dynein heavy chain
263at33392	Complete	OW284513.1	2012079	2039793	-	5498.8	3050	https://www.orthodb.org/v10?query=263at33392	EGF-like calcium-binding, conserved site
416at33392	Complete	OW284511.1	69077050	69116774	+	2712.0	1633	https://www.orthodb.org/v10?query=416at33392	midasin
693at33392	Complete	OW284513.1	17400261	17447955	-	4363.9	2626	https://www.orthodb.org/v10?query=693at33392	WD40-repeat-containing domain
695at33392	Complete	OW284514.1	1246923	1272855	-	2785.4	2081	https://www.orthodb.org/v10?query=695at33392	SRCR-like domain
727at33392	Complete	OW284515.1	61429178	61469363	+	3543.5	2445	https://www.orthodb.org/v10?query=727at33392	protein unc-80 homolog
734at33392	Complete	OW284518.1	23588217	23658516	-	3370.9	2104	https://www.orthodb.org/v10?query=734at33392	protein furry isoform X1
764at33392	Complete	OW284512.1	31504158	31539655	+	3802.6	2507	https://www.orthodb.org/v10?query=764at33392	GPCR, family 2, extracellular hormone receptor domain
786at33392	Complete	OW284511.1	9261707	9320355	-	2698.4	2086	https://www.orthodb.org/v10?query=786at33392	multiple epidermal growth factor-like domains protein 8
799at33392	Complete	OW284510.1	2074308	2134869	+	3588.8	2329	https://www.orthodb.org/v10?query=799at33392	ubiquitin carboxyl-terminal hydrolase 34
805at33392	Missing
818at33392	Complete	OW284520.1	1211298	1226766	+	3525.6	2059	https://www.orthodb.org/v10?query=818at33392	inositol 1,4,5-trisphosphate receptor isoform X1
832at33392	Complete	OW284518.1	43338357	43436780	+	2278.2	1556	https://www.orthodb.org/v10?query=832at33392	Dbl homology (DH) domain
892at33392	Complete	OW284516.1	26210072	26252941	-	4142.9	1914	https://www.orthodb.org/v10?query=892at33392	pre-mRNA-processing-splicing factor 8
911at33392	Complete	OW284511.1	12602488	12646794	+	847.7	986	https://www.orthodb.org/v10?query=911at33392	maternal protein tudor isoform X1
1040at33392	Complete	OW284511.1	6048464	6102229	+	3049.8	2027	https://www.orthodb.org/v10?query=1040at33392	E3 ubiquitin-protein ligase UBR5 isoform X1
1224at33392	Complete	OW284520.1	2322508	2338885	+	1446.1	1582	https://www.orthodb.org/v10?query=1224at33392	chondroitin sulfate proteoglycan 4
1226at33392	Complete	OW284513.1	24007410	24069497	-	2239.6	1657	https://www.orthodb.org/v10?query=1226at33392	leucine-rich repeat serine/threonine-protein kinase 1
1321at33392	Complete	OW284516.1	20141190	20170137	+	2295.8	2072	https://www.orthodb.org/v10?query=1321at33392	small subunit processome component 20 homolog
1447at33392	Complete	OW284513.1	44369235	44495143	-	1576.9	1402	https://www.orthodb.org/v10?query=1447at33392	cadherin-89D
1503at33392	Complete	OW284515.1	53135688	53189043	+	2051.9	1386	https://www.orthodb.org/v10?query=1503at33392	protein KIAA0100
1556at33392	Complete	OW284513.1	71497712	71581783	+	1392.0	1432	https://www.orthodb.org/v10?query=1556at33392	Tyrosine-protein kinase receptor
1561at33392	Complete	OW284516.1	43651848	43706943	+	2186.5	1375	https://www.orthodb.org/v10?query=1561at33392	CCR4-NOT transcription complex subunit 1 isoform X1
1673at33392	Complete	OW284512.1	11319889	11386101	-	3341.0	1800	https://www.orthodb.org/v10?query=1673at33392	Carbamoyl-phosphate synthase small subunit, N-terminal domain
1815at33392	Complete	OW284512.1	29410853	29502053	-	2729.9	1697	https://www.orthodb.org/v10?query=1815at33392	protein sidekick isoform X1
1864at33392	Complete	OW284510.1	781870	831791	+	2401.1	1524	https://www.orthodb.org/v10?query=1864at33392	DNA polymerase epsilon catalytic subunit
1903at33392	Complete	OW284516.1	26718129	26821847	-	1490.2	1576	https://www.orthodb.org/v10?query=1903at33392	serine/threonine-protein kinase SMG1
1937at33392	Complete	OW284517.1	37212004	37228619	+	1631.4	1307	https://www.orthodb.org/v10?query=1937at33392	tetratricopeptide repeat protein 28
1964at33392	Complete	OW284513.1	65561870	65603724	+	1308.7	909	https://www.orthodb.org/v10?query=1964at33392	DNA polymerase
1980at33392	Complete	OW284512.1	39638778	39761908	-	3320.1	2142	https://www.orthodb.org/v10?query=1980at33392	Translational activator GCN1
2010at33392	Complete	OW284510.1	34234468	34268319	-	867.8	1075	https://www.orthodb.org/v10?query=2010at33392	nuclear pore membrane glycoprotein 210
2351at33392	Complete	OW284514.1	2850572	2867877	+	1728.8	1174	https://www.orthodb.org/v10?query=2351at33392	Pecanex-like protein 1
2366at33392	Complete	OW284517.1	37628043	37653048	+	2901.0	1433	https://www.orthodb.org/v10?query=2366at33392	Clathrin heavy chain
2376at33392	Complete	OW284520.1	625626	640136	-	1372.6	992	https://www.orthodb.org/v10?query=2376at33392	Nipped-B protein
2382at33392	Complete	OW284515.1	58473701	58503586	+	1227.3	1036	https://www.orthodb.org/v10?query=2382at33392	tuberin
2416at33392	Complete	OW284520.1	18136834	18149448	+	2242.2	1376	https://www.orthodb.org/v10?query=2416at33392	protein MON2 homolog isoform X1
2473at33392	Complete	OW284510.1	86878166	86946006	+	3010.6	1921	https://www.orthodb.org/v10?query=2473at33392	dnaJ homolog subfamily C member 13
2565at33392	Complete	OW284512.1	29337747	29388974	-	2295.8	2045	https://www.orthodb.org/v10?query=2565at33392	nucleosome-remodeling factor subunit NURF301 isoform X1
2645at33392	Complete	OW284512.1	4626025	4657602	+	1613.1	1405	https://www.orthodb.org/v10?query=2645at33392	proteasome-associated protein ECM29 homolog
2647at33392	Complete	OW284510.1	26378473	26428926	-	1569.2	1367	https://www.orthodb.org/v10?query=2647at33392	Autophagy-related, C-terminal
2650at33392	Complete	OW284516.1	46254082	46284256	+	2679.0	1406	https://www.orthodb.org/v10?query=2650at33392	brefeldin A-inhibited guanine nucleotide-exchange protein 1
2690at33392	Complete	OW284516.1	52026185	52072668	+	1067.6	1428	https://www.orthodb.org/v10?query=2690at33392	nucleoprotein TPR
2789at33392	Complete	OW284511.1	16006758	16011674	-	2111.1	1353	https://www.orthodb.org/v10?query=2789at33392	Rho GTPase-activating protein domain
3036at33392	Complete	OW284512.1	25295449	25325297	-	2715.8	1430	https://www.orthodb.org/v10?query=3036at33392	chromodomain-helicase-DNA-binding protein Mi-2 homolog isoform X1
3209at33392	Complete	OW284519.1	21017400	21062939	+	1430.7	1060	https://www.orthodb.org/v10?query=3209at33392	DENN domain-containing protein 4C isoform X1
3472at33392	Complete	OW284510.1	15739676	15808455	-	1247.6	1019	https://www.orthodb.org/v10?query=3472at33392	Zinc finger, PHD-type
3519at33392	Complete	OW284512.1	72760118	72808804	+	2320.3	1379	https://www.orthodb.org/v10?query=3519at33392	Ankyrin repeat-containing domain
3563at33392	Complete	OW284513.1	10177704	10201447	+	1617.9	974	https://www.orthodb.org/v10?query=3563at33392	zinc finger SWIM domain-containing protein 8
3572at33392	Complete	OW284519.1	27434777	27460627	-	1551.6	1120	https://www.orthodb.org/v10?query=3572at33392	protein polybromo-1 isoform X1
3627at33392	Complete	OW284520.1	24544868	24556631	-	2683.4	1725	https://www.orthodb.org/v10?query=3627at33392	HEAT repeat-containing protein 5B isoform X1
3733at33392	Complete	OW284514.1	37807973	37876067	+	2580.9	1574	https://www.orthodb.org/v10?query=3733at33392	myotubularin-related protein 13
3737at33392	Complete	OW284519.1	33853873	33887300	+	2570.7	1561	https://www.orthodb.org/v10?query=3737at33392	Thioredoxin domain
4074at33392	Complete	OW284510.1	98275987	98310738	+	1104.5	769	https://www.orthodb.org/v10?query=4074at33392	guanine nucleotide exchange factor subunit Rich
4197at33392	Complete	OW284519.1	24994181	25041487	-	1395.3	1344	https://www.orthodb.org/v10?query=4197at33392	protocadherin-15
4223at33392	Complete	OW284510.1	101556703	101638193	-	981.8	1021	https://www.orthodb.org/v10?query=4223at33392	Thyroglobulin type-1
4339at33392	Complete	OW284515.1	19266065	19316038	+	1663.3	1270	https://www.orthodb.org/v10?query=4339at33392	WD40-repeat-containing domain
4484at33392	Complete	OW284510.1	96249072	96301673	+	1503.4	1214	https://www.orthodb.org/v10?query=4484at33392	probable Rho GTPase-activating protein CG5521 isoform X1
4595at33392	Complete	OW284520.1	468500	475072	-	2148.1	1117	https://www.orthodb.org/v10?query=4595at33392	Cytoplasmic FMR1-interacting protein
4701at33392	Complete	OW284510.1	27433557	27619209	+	1370.5	1504	https://www.orthodb.org/v10?query=4701at33392	trichohyalin isoform X1
4774at33392	Complete	OW284512.1	8495113	8512081	+	1860.4	1090	https://www.orthodb.org/v10?query=4774at33392	Superoxide dismutase, copper/zinc binding domain
4915at33392	Complete	OW284514.1	45001975	45092753	-	1645.8	1118	https://www.orthodb.org/v10?query=4915at33392	MAP kinase-activating death domain protein
5068at33392	Complete	OW284516.1	19201553	19218569	+	2018.0	1038	https://www.orthodb.org/v10?query=5068at33392	splicing factor 3B subunit 3
5169at33392	Complete	OW284511.1	79981175	80031937	+	1539.3	1093	https://www.orthodb.org/v10?query=5169at33392	UDP-glucose:glycoprotein glucosyltransferase
5263at33392	Complete	OW284514.1	40435590	40468048	+	1557.4	932	https://www.orthodb.org/v10?query=5263at33392	protein mesh isoform X1
5266at33392	Complete	OW284510.1	100576701	100602799	-	1383.1	762	https://www.orthodb.org/v10?query=5266at33392	Zona pellucida domain
5384at33392	Complete	OW284511.1	24698320	24715242	-	1057.8	767	https://www.orthodb.org/v10?query=5384at33392	sterol regulatory element-binding protein cleavage-activating protein
5437at33392	Complete	OW284510.1	10689233	10717234	-	1455.1	931	https://www.orthodb.org/v10?query=5437at33392	Paired amphipathic helix
