#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   1  11   6.7e-14   6.2e-10   36.9   0.0     2    46    19    63    18    79 0.84 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   2  11     7e-48   6.5e-44  149.6   0.0    31   143    84   215    77   227 0.90 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   3  11   5.4e-12   5.1e-08   30.6   0.1   150   188   288   326   272   340 0.86 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   4  11   2.5e-55   2.3e-51  174.3  10.6   191   358   422   681   413   691 0.77 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   5  11   2.5e-21   2.3e-17   61.5   0.0   355   431   706   807   695   823 0.83 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   6  11   4.6e-62   4.3e-58  196.6   0.5   428   635   860  1113   856  1139 0.82 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   7  11  4.9e-188  4.5e-184  614.5   9.2   646  1090  1179  1732  1175  1739 0.83 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   8  11  4.6e-115  4.2e-111  372.5   1.8  1084  1301  1768  1986  1739  1990 0.94 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2   9  11         0         0 1905.7  20.2  1298  2301  2012  3098  2004  3199 0.92 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2  10  11   5.4e-18     5e-14   50.5   7.0  2312  2395  3220  3306  3198  3315 0.81 -
ptg000316l:576034-638040  -           3514 727at33392           -           2414         0 3584.9 106.2  11  11    0.0004       3.7    4.5   1.7  2337  2399  3368  3437  3357  3443 0.61 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   1  12   6.6e-10   6.1e-06   23.6   0.0     2    46    19    61    18    77 0.82 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   2  12   6.6e-48   6.1e-44  149.7   0.0    31   142    82   212    72   223 0.90 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   3  12   8.3e-17   7.7e-13   46.5   0.2   147   188   281   322   266   337 0.88 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   4  12   2.7e-56   2.5e-52  177.5  10.8   191   358   418   674   398   683 0.78 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   5  12   1.6e-21   1.5e-17   62.2   0.0   354   431   698   800   674   817 0.81 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   6  12   4.5e-62   4.2e-58  196.7   0.5   428   635   853  1106   849  1132 0.82 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   7  12  2.8e-183  2.6e-179  598.7   8.3   646  1090  1172  1745  1168  1753 0.83 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   8  12  1.7e-115  1.6e-111  373.9   1.7  1084  1301  1781  1999  1752  2003 0.94 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5   9  12  6.6e-270  6.1e-266  886.1   4.3  1298  1685  2025  2420  2017  2421 0.98 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5  10  12  9.7e-260    9e-256  852.4   9.0  1760  2300  2420  3018  2419  3099 0.89 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5  11  12   4.5e-19   4.2e-15   54.0   3.5  2312  2395  3141  3227  3120  3239 0.81 -
ptg000415l:936706-1006727 -           3435 727at33392           -           2414         0 3401.2 104.5  12  12   0.00039       3.6    4.5   1.7  2337  2399  3289  3358  3278  3364 0.61 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/727at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/727at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/727at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:23:19 2022
# [ok]
