#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000132l:4320924-4363382   -            426 44726at33392         -            242  7.2e-121  398.9  37.1   1   2   3.1e-41   2.1e-40  135.5   5.7     1   108     3   129     3   136 0.86 -
ptg000132l:4320924-4363382   -            426 44726at33392         -            242  7.2e-121  398.9  37.1   2   2   4.8e-82   3.1e-81  269.1  23.3   105   242   160   298   154   298 0.98 -
ptg000127l:1984533-1985396   -            288 44726at33392         -            242   1.4e-56  188.4  49.8   1   2   4.3e-27   2.8e-26   89.2  26.0    80   239     1   161     1   164 0.89 -
ptg000127l:1984533-1985396   -            288 44726at33392         -            242   1.4e-56  188.4  49.8   2   2   1.7e-30   1.1e-29  100.3  17.0   102   226   163   288   155   288 0.94 -
ptg000032l:23670537-23671265 -            243 44726at33392         -            242   8.1e-54  179.4  40.4   1   2   1.9e-39   1.3e-38  129.6  24.5    81   231    20   173    17   177 0.96 -
ptg000032l:23670537-23671265 -            243 44726at33392         -            242   8.1e-54  179.4  40.4   2   2   4.9e-19   3.2e-18   62.8   8.0   162   239   160   237   160   240 0.97 -
ptg000383l:63089-63859       -            257 44726at33392         -            242   6.1e-53  176.5  56.1   1   3   2.5e-25   1.6e-24   83.4  16.3   107   230     2   128     1   129 0.93 -
ptg000383l:63089-63859       -            257 44726at33392         -            242   6.1e-53  176.5  56.1   2   3   6.5e-30   4.2e-29   98.4  25.1    81   231    92   240    92   243 0.95 -
ptg000383l:63089-63859       -            257 44726at33392         -            242   6.1e-53  176.5  56.1   3   3   1.1e-05   7.3e-05   19.1   0.5   162   192   227   257   227   257 0.89 -
ptg000402l:953471-954241     -            257 44726at33392         -            242   6.1e-53  176.5  56.1   1   3   2.5e-25   1.6e-24   83.4  16.3   107   230     2   128     1   129 0.93 -
ptg000402l:953471-954241     -            257 44726at33392         -            242   6.1e-53  176.5  56.1   2   3   6.5e-30   4.2e-29   98.4  25.1    81   231    92   240    92   243 0.95 -
ptg000402l:953471-954241     -            257 44726at33392         -            242   6.1e-53  176.5  56.1   3   3   1.1e-05   7.3e-05   19.1   0.5   162   192   227   257   227   257 0.89 -
ptg000127l:1970924-1971664   -            247 44726at33392         -            242     3e-52  174.3  44.3   1   3   7.8e-13   5.1e-12   42.5   3.1   139   205     3    72     1    74 0.90 -
ptg000127l:1970924-1971664   -            247 44726at33392         -            242     3e-52  174.3  44.3   2   3   1.4e-27   9.1e-27   90.8  18.3   115   230    65   181    63   184 0.97 -
ptg000127l:1970924-1971664   -            247 44726at33392         -            242     3e-52  174.3  44.3   3   3   2.8e-20   1.8e-19   66.9   7.0   154   239   133   218   130   223 0.92 -
ptg000057l:9033519-9119853   -            214 44726at33392         -            242   2.2e-51  171.4  37.4   1   3   1.5e-12     1e-11   41.6   1.0   163   206    31    74     9    81 0.82 -
ptg000057l:9033519-9119853   -            214 44726at33392         -            242   2.2e-51  171.4  37.4   2   3   7.6e-33     5e-32  108.0  16.9   110   240    33   165    25   167 0.95 -
ptg000057l:9033519-9119853   -            214 44726at33392         -            242   2.2e-51  171.4  37.4   3   3   4.6e-14     3e-13   46.5   4.5   149   205   158   214   157   214 0.85 -
ptg000142l:857708-858817     -            370 44726at33392         -            242     9e-51  169.4  77.9   1   3   2.5e-14   1.6e-13   47.4  21.9   103   239   101   238    56   240 0.89 -
