#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000232l:6410959-6414211   -            316 68112at33392         -            288  7.5e-152  504.6   0.3   1   1  9.2e-155  8.9e-152  504.4   0.3     5   288     1   306     1   306 0.95 -
ptg000024l:34394360-34395490 -            377 68112at33392         -            288   2.4e-66  224.0   0.2   1   1   4.1e-69     4e-66  223.3   0.2     2   258    31   300    30   321 0.79 -
ptg000059l:4650882-4652963   -            369 68112at33392         -            288     5e-61  206.6   1.7   1   1   6.8e-64   6.6e-61  206.2   1.7     4   285    53   356    51   359 0.83 -
ptg000057l:9106183-9107250   -            356 68112at33392         -            288   1.3e-29  103.5   4.0   1   1   6.4e-30   6.2e-27   94.7   4.0     2   198     3   238     2   341 0.66 -
ptg000876l:136053-136271     -             73 68112at33392         -            288   3.6e-22   79.1   0.0   1   1     4e-25   3.9e-22   78.9   0.0    24    90     7    72     2    73 0.92 -
ptg000165l:9195091-9208115   -            835 68112at33392         -            288   4.6e-10   39.3   0.4   1   2    0.0059       5.8    6.2   0.0     1    21   377   397   377   411 0.85 -
ptg000165l:9195091-9208115   -            835 68112at33392         -            288   4.6e-10   39.3   0.4   2   2   1.3e-10   1.3e-07   31.3   0.1    38   194   443   613   437   661 0.70 -
ptg000177l:3726326-3810568   -            905 68112at33392         -            288   1.9e-05   24.2   0.4   1   3       2.1   2.1e+03   -2.2   0.0     4    21   274   291   271   301 0.82 -
ptg000177l:3726326-3810568   -            905 68112at33392         -            288   1.9e-05   24.2   0.4   2   3   1.9e-07   0.00019   20.9   0.0    38   111   350   420   330   435 0.80 -
ptg000177l:3726326-3810568   -            905 68112at33392         -            288   1.9e-05   24.2   0.4   3   3       0.5   4.8e+02   -0.1   0.1   167   235   501   573   444   591 0.63 -
ptg000034l:978114-1067768    -            905 68112at33392         -            288   2.1e-05   24.1   0.4   1   3       2.1   2.1e+03   -2.2   0.0     4    21   274   291   271   301 0.82 -
ptg000034l:978114-1067768    -            905 68112at33392         -            288   2.1e-05   24.1   0.4   2   3   1.9e-07   0.00019   20.9   0.0    38   111   350   420   330   435 0.80 -
ptg000034l:978114-1067768    -            905 68112at33392         -            288   2.1e-05   24.1   0.4   3   3      0.53   5.2e+02   -0.3   0.1   167   235   501   573   444   591 0.63 -
ptg000062l:44592927-44616015 -            894 68112at33392         -            288     0.003   17.0   0.6   1   2     0.075        73    2.6   0.0    29   107   435   513   423   521 0.66 -
ptg000062l:44592927-44616015 -            894 68112at33392         -            288     0.003   17.0   0.6   2   2   9.6e-05     0.094   12.0   0.1    37    57   711   731   706   735 0.89 -
ptg000296l:6361568-6367879   -            401 68112at33392         -            288    0.0044   16.4   0.0   1   1   8.5e-06    0.0083   15.5   0.0    37    59   211   233   182   299 0.70 -
ptg000143l:230485-235882     -           1306 68112at33392         -            288     0.028   13.8   1.0   1   4       4.1     4e+03   -3.2   0.2   220   254   635   669   633   673 0.84 -
ptg000143l:230485-235882     -           1306 68112at33392         -            288     0.028   13.8   1.0   2   4       0.3   2.9e+02    0.6   0.0     4    30   735   762   733   765 0.84 -
ptg000143l:230485-235882     -           1306 68112at33392         -            288     0.028   13.8   1.0   3   4   0.00049      0.47    9.7   0.0    37    78   806   841   797   858 0.81 -
ptg000143l:230485-235882     -           1306 68112at33392         -            288     0.028   13.8   1.0   4   4       1.8   1.8e+03   -2.0   0.0   158   192   973  1006   962  1013 0.77 -
ptg000010l:3731071-3732981   -            442 68112at33392         -            288     0.036   13.4   0.0   1   1   6.3e-05     0.062   12.6   0.0    37    59   192   214   181   263 0.81 -
ptg000008l:8685677-8691786   -            262 68112at33392         -            288     0.059   12.7   0.1   1   1   0.00013      0.12   11.6   0.1    37    56    55    74    47    83 0.80 -
ptg000051l:1586705-1592087   -           1312 68112at33392         -            288     0.072   12.4   0.4   1   4       1.9   1.8e+03   -2.0   0.1   220   254   641   675   638   680 0.86 -
ptg000051l:1586705-1592087   -           1312 68112at33392         -            288     0.072   12.4   0.4   2   4       0.5   4.9e+02   -0.2   0.0     4    30   741   768   739   770 0.83 -
ptg000051l:1586705-1592087   -           1312 68112at33392         -            288     0.072   12.4   0.4   3   4    0.0015       1.4    8.2   0.0    37    78   812   847   803   864 0.81 -
ptg000051l:1586705-1592087   -           1312 68112at33392         -            288     0.072   12.4   0.4   4   4       2.5   2.5e+03   -2.5   0.0   168   192   988  1012   968  1018 0.77 -
ptg000066l:12488402-12492117 -            237 68112at33392         -            288     0.072   12.4   0.0   1   1   0.00014      0.13   11.5   0.0    37    57    55    75    49    89 0.81 -
ptg000296l:8016659-8019594   -            160 68112at33392         -            288      0.08   12.3   0.0   1   1   0.00011      0.11   11.9   0.0    36    56    44    64    17    73 0.78 -
ptg000087l:766076-769146     -            201 68112at33392         -            288      0.16   11.2   0.0   1   1   0.00025      0.24   10.7   0.0    37    56    12    31     3    40 0.81 -
ptg000174l:3882651-3887910   -            259 68112at33392         -            288      0.18   11.1   0.2   1   1   0.00037      0.36   10.1   0.3    37    60   102   123    90   189 0.77 -
ptg000032l:8411268-8415901   -            421 68112at33392         -            288      0.22   10.8   0.0   1   1   0.00036      0.36   10.1   0.0    38    58   226   246   201   277 0.79 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/68112at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/68112at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/68112at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:23:13 2022
# [ok]
