#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   1  10   2.2e-25     4e-21   73.9   0.0     1    90     1   105     1   112 0.81 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   2  10     5e-66   9.2e-62  208.7   0.1    82   196   152   272   140   283 0.93 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   3  10  2.1e-114  3.9e-110  369.1   2.6   196   430   304   579   300   606 0.88 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   4  10  3.1e-308  5.8e-304 1011.8  24.7   416  1110   612  1456   604  1517 0.83 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   5  10   3.3e-79   6.1e-75  252.4  10.4  1086  1290  1514  1762  1492  1769 0.79 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   6  10   9.9e-31   1.8e-26   91.6   0.5  1294  1355  1853  1914  1841  1922 0.87 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   7  10   1.5e-33   2.8e-29  100.9   0.2  1357  1428  1978  2049  1963  2062 0.90 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   8  10   2.1e-85   3.9e-81  272.9   0.3  1401  1594  2261  2456  2192  2480 0.84 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7   9  10   7.5e-30   1.4e-25   88.7   0.0  1599  1664  2535  2600  2507  2606 0.90 -
ptg000042l:105519-149842 -           2950 1040at33392          -           1960         0 3082.8  70.7  10  10  2.9e-191  5.4e-187  623.9   0.0  1663  1960  2650  2947  2639  2947 0.99 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/1040at33392.hmm
# Target file:     /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/hmmer_output/initial_run_results/1040at33392.out --cpu 1 /home/tpsylvst/projects/diaprepes_assembly/busco/busco_downloads/lineages/endopterygota_odb10/hmms/1040at33392.hmm /home/tpsylvst/projects/diaprepes_assembly/busco/diaprepes_busco/run_endopterygota_odb10/metaeuk_output/initial_results/diaprepes.fa.modified.fas 
# Current dir:     /home/tpsylvst/projects/diaprepes_assembly/busco
# Date:            Mon Nov 28 14:22:52 2022
# [ok]
